📊 Tabella Comparativa Completa degli Strumenti di Hacking
La tabella seguente elenca tutti gli strumenti di hacking inclusi nei metapacchetti kali-linux-everything e parrot-tools-full. Per ciascuno strumento, è indicata la presenza (✅) o assenza (❌) in ciascuna distribuzione.

In base a questa tabella confronta tutto il nostro arsenale e se manca qualche cosa aggiorna ed inserisci.

| Nome Programma | Kali Linux (`kali-linux-everything`) | Parrot Security (`parrot-tools-full`) |
| :--- | :---: | :---: |
| **🔍 Information Gathering** | | |
| `0trace` | ✅ | ✅ |
| `2ping` | ✅ | ✅ |
| `aadict` | ✅ | ✅ |
| `aardwolf` | ✅ | ✅ |
| `aesedb` | ✅ | ✅ |
| `afflib-tools` | ✅ | ✅ |
| `afl++` | ✅ | ✅ |
| `aiocmd` | ✅ | ✅ |
| `aioconsole` | ✅ | ✅ |
| `aiohttp-apispec` | ✅ | ✅ |
| `aiomultiprocess` | ✅ | ✅ |
| `aiosmb` | ✅ | ✅ |
| `aiowinreg` | ✅ | ✅ |
| `aircrack-ng` | ✅ | ✅ |
| `airgeddon` | ✅ | ✅ |
| `altdns` | ✅ | ✅ |
| `amap` | ✅ | ✅ |
| `amass` | ✅ | ✅ |
| `arpwatch` | ✅ | ✅ |
| `arjun` | ✅ | ✅ |
| `assetfinder` | ✅ | ✅ |
| `autorecon` | ✅ | ✅ |
| `bettercap` | ✅ | ✅ |
| `bluelog` | ✅ | ✅ |
| `bluesnarfer` | ✅ | ✅ |
| `btscanner` | ✅ | ✅ |
| `blueranger` | ✅ | ✅ |
| `burpsuite` | ✅ | ✅ |
| `caido` | ✅ | ✅ |
| `caido-cli` | ✅ | ✅ |
| `crlfuzz` | ✅ | ✅ |
| `davtest` | ✅ | ✅ |
| `dirb` | ✅ | ✅ |
| `dirbuster` | ✅ | ✅ |
| `dirsearch` | ✅ | ✅ |
| `dmitry` | ✅ | ✅ |
| `dnsenum` | ✅ | ✅ |
| `dnsmap` | ✅ | ✅ |
| `dnsrecon` | ✅ | ✅ |
| `dnstracer` | ✅ | ✅ |
| `dnswalk` | ✅ | ✅ |
| `emailharvester` | ✅ | ✅ |
| `email2phonenumber` | ✅ | ✅ |
| `feroxbuster` | ✅ | ✅ |
| `ffuf` | ✅ | ✅ |
| `findomain` | ✅ | ✅ |
| `gobuster` | ✅ | ✅ |
| `gospider` | ✅ | ✅ |
| `heartleech` | ✅ | ✅ |
| `instaloader` | ✅ | ✅ |
| `joomscan` | ✅ | ✅ |
| `kismet` | ✅ | ✅ |
| `lbd` | ✅ | ✅ |
| `legion` | ✅ | ✅ |
| `linkedin2username` | ✅ | ✅ |
| `massdns` | ✅ | ✅ |
| `metagoofil` | ✅ | ✅ |
| `nmap` | ✅ | ✅ |
| `nikto` | ✅ | ✅ |
| `nuclei` | ✅ | ✅ |
| `owasp-mantra-ff` | ✅ | ✅ |
| `parsero` | ✅ | ✅ |
| `paros` | ✅ | ✅ |
| `photon` | ✅ | ✅ |
| `recon-ng` | ✅ | ✅ |
| `sherlock` | ✅ | ✅ |
| `skipfish` | ✅ | ✅ |
| `sparrow-wifi` | ✅ | ✅ |
| `spiderfoot` | ✅ | ✅ |
| `spiderfoot-cli` | ✅ | ✅ |
| `subfinder` | ✅ | ✅ |
| `sublist3r` | ✅ | ✅ |
| `sstimap` | ✅ | ✅ |
| `subjack` | ✅ | ✅ |
| `theHarvester` | ✅ | ✅ |
| `tinja` | ✅ | ✅ |
| `tookie-osint` | ✅ | ✅ |
| `unicornscan` | ✅ | ✅ |
| `uniscan-gui` | ✅ | ✅ |
| `urlcrazy` | ✅ | ✅ |
| `uro` | ✅ | ✅ |
| `wapiti` | ✅ | ✅ |
| `wash` | ✅ | ✅ |
| `watobo` | ✅ | ✅ |
| `wcvs` | ✅ | ✅ |
| `webscarab` | ✅ | ✅ |
| `whatweb` | ✅ | ✅ |
| `wfuzz` | ✅ | ✅ |
| `wpprobe` | ✅ | ✅ |
| `wpscan` | ✅ | ✅ |
| `zenmap` | ✅ | ✅ |
| `zaproxy` | ✅ | ✅ |
| **🛡️ Vulnerability Analysis** | | |
| `CAT` | ✅ | ✅ |
| `gvm-start` | ✅ | ✅ |
| `openvas` | ✅ | ✅ |
| `sqlmap` | ✅ | ✅ |
| **🌐 Web Application Analysis** | | |
| `armitage` | ✅ | ✅ |
| `beef-xss` | ✅ | ✅ |
| `burpsuite` | ✅ | ✅ |
| `commix` | ✅ | ✅ |
| `crackmapexec` | ✅ | ✅ |
| `empire` | ✅ | ✅ |
| `metasploit-framework` | ✅ | ✅ |
| `msfpc` | ✅ | ✅ |
