# NexusSec - fonti dei tool (link attivi e funzionanti)
# Generato da build/nxs-sources-check.py - NON modificare a mano.
# Tool totali: 433   Rotti: 0
#
# TOOL                    STATO  METODO    FONTE
0trace                  OK     kali      kali-rolling apt:0trace
2ping                   OK     kali      kali-rolling apt:2ping
7zip                    OK     kali      kali-rolling apt:7zip
above                   OK     kali      kali-rolling apt:above
aesfix                  OK     kali      kali-rolling apt:aesfix
aeskeyfind              OK     kali      kali-rolling apt:aeskeyfind
afflib-tools            OK     kali      kali-rolling apt:afflib-tools
afl++                   OK     kali      kali-rolling apt:afl++
aircrack-ng             OK     apk       apk:aircrack-ng
airgeddon               OK     kali      kali-rolling apt:airgeddon
altdns                  OK     kali      kali-rolling apt:altdns
amap                    OK     kali      kali-rolling apt:amap
amass                   OK     container docker.io/caffix/amass:latest
apache-users            OK     kali      kali-rolling apt:apache-users
apktool                 OK     kali      kali-rolling apt:apktool
arduino                 OK     kali      kali-rolling apt:arduino
arjun                   OK     kali      kali-rolling apt:arjun
armitage                OK     kali      kali-rolling apt:armitage
arp-scan                OK     apk       apk:arp-scan
arping                  OK     kali      kali-rolling apt:arping
arpspoof                OK     kali      kali-rolling apt:dsniff
arpwatch                OK     kali      kali-rolling apt:arpwatch
asleap                  OK     kali      kali-rolling apt:asleap
assetfinder             OK     kali      kali-rolling apt:assetfinder
autopsy                 OK     kali      kali-rolling apt:autopsy
autorecon               OK     pip       pypi:autorecon
bed                     OK     kali      kali-rolling apt:bed
beef-xss                OK     kali      kali-rolling apt:beef-xss
bettercap               OK     apk       apk:bettercap
binutils                OK     apk       apk:binutils
binwalk                 OK     apk       apk:binwalk
binwalk3                OK     kali      kali-rolling apt:binwalk3
bloodhound              OK     kali      kali-rolling apt:bloodhound
bloodhound-python       OK     pip       pypi:bloodhound
blue-hydra              OK     kali      kali-rolling apt:blue-hydra
bluelog                 OK     kali      kali-rolling apt:bluelog
blueranger              OK     kali      kali-rolling apt:blueranger
bluesnarfer             OK     kali      kali-rolling apt:bluesnarfer
braa                    OK     kali      kali-rolling apt:braa
btscanner               OK     kali      kali-rolling apt:btscanner
bulk-extractor          OK     apk       apk:bulk-extractor
bully                   OK     kali      kali-rolling apt:bully
burpsuite               OK     kali      kali-rolling apt:burpsuite
bytecode-viewer         OK     kali      kali-rolling apt:bytecode-viewer
cabextract              OK     kali      kali-rolling apt:cabextract
cadaver                 OK     kali      kali-rolling apt:cadaver
caido                   OK     kali      kali-rolling apt:caido
ccrypt                  OK     kali      kali-rolling apt:ccrypt
cewl                    OK     kali      kali-rolling apt:cewl
cherrytree              OK     apk       apk:cherrytree
chirp                   OK     kali      kali-rolling apt:chirp
chkrootkit              OK     apk       apk:chkrootkit
chntpw                  OK     kali      kali-rolling apt:chntpw
cisco-auditing-tool     OK     kali      kali-rolling apt:cisco-auditing-tool
cisco-global-exploiter  OK     kali      kali-rolling apt:cisco-global-exploiter
cisco-ocs               OK     kali      kali-rolling apt:cisco-ocs
cisco-torch             OK     kali      kali-rolling apt:cisco-torch
clamav                  OK     apk       apk:clamav-scanner
clang                   OK     kali      kali-rolling apt:clang
cmospwd                 OK     kali      kali-rolling apt:cmospwd
commix                  OK     pip       pypi:commix
copy-router-config      OK     kali      kali-rolling apt:copy-router-config
cowpatty                OK     kali      kali-rolling apt:cowpatty
crackle                 OK     kali      kali-rolling apt:crackle
crackmapexec            OK     kali      kali-rolling apt:crackmapexec
creddump7               OK     kali      kali-rolling apt:creddump7
crlfuzz                 OK     kali      kali-rolling apt:crlfuzz
